,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
14/02/2022 03:00,41892.95,8773.461,61.77841121,0.252937476,0.098602678,0.402788214,1618,0.500913913,0.174487734,0.501519962
14/02/2022 04:00,41940,5028.318,64.91968635,0.243994888,0.112962675,0.409527312,1369,0.56507069,0.108589236,0.506851239
14/02/2022 05:00,41765.24,5366.739,67.01386978,0.222853007,0.086501373,0.411389324,1212,0.737245882,0.045307027,0.445191028
14/02/2022 06:00,42154.26,12187.359,67.01386978,0.191357771,0.090913554,0.458202102,1100,0.443102667,0.095045377,0.443365385
14/02/2022 07:00,42290.41,8949.228,57.59004434,0.238596286,0.105641972,0.391917585,1096,0.785736,0.082714693,0.495164835
14/02/2022 08:00,42027.43,13540.771,74.34351179,0.201604381,0.116056297,0.43933208,1391,0.605188087,0.116795427,0.537345603
14/02/2022 09:00,42067.01,11202.176,71.20223664,0.250269048,0.128835989,0.422271502,1168,0.386384281,0.145578878,0.474264685
14/02/2022 10:00,42205.42,8608.563,69.10805321,0.210701253,0.12311303,0.418960622,1227,0.651704733,0.107155999,0.511380742
14/02/2022 11:00,42107.81,6357.357,70.15514493,0.273126238,0.134225952,0.436932688,1305,0.591846774,0.165877976,0.365446429
14/02/2022 12:00,42500.07,24138.497,76.43769522,0.228881641,0.120198773,0.418409722,1643,0.598495748,0.158635381,0.482380913
14/02/2022 13:00,42465.61,18188.032,70.15514493,0.218902796,0.105992945,0.425970721,1705,0.496011359,0.11723163,0.421419663
14/02/2022 14:00,42500,21638.611,75.39060351,0.250031644,0.11834709,0.424701704,2002,0.363700945,0.100138519,0.504684721
14/02/2022 15:00,42565,18129.624,69.10805321,0.27028634,0.127250662,0.409387732,2020,0.685853828,0.097944263,0.393743085
14/02/2022 16:00,42624.97,13289.883,74.34351179,0.253724368,0.119774992,0.417344196,1987,0.735404262,0.018486962,0.374264548
14/02/2022 17:00,42553.66,12647.684,75.39060351,0.242127068,0.125008759,0.398860742,1957,0.718652456,0.141202231,0.431595449
14/02/2022 18:00,42227.85,14341.51,74.34351179,0.214898126,0.09880158,0.407193433,2059,0.768178431,0.056794094,0.464537709
14/02/2022 19:00,42102.29,31047.068,74.34351179,0.223650397,0.104946819,0.399593702,2098,0.761870716,0.099762582,0.46562683
14/02/2022 20:00,42171.93,10870.42,84.81442894,0.223326788,0.090177177,0.417353741,1842,0.825773254,0.133372353,0.476045726
14/02/2022 21:00,42215.33,4199.661,82.72024551,0.228039518,0.112901541,0.403852839,1851,0.516194909,0.116594757,0.451501396
14/02/2022 22:00,42659.99,12828.02,82.72024551,0.195344015,0.086468988,0.408095487,2251,0.213767167,0.126572421,0.451271081
14/02/2022 23:00,42525.14,7632.679,76.43769522,0.182139437,0.106293119,0.415136612,2152,0.713503233,0.194247052,0.559736763
15/02/2022 00:00,42561.04,6604.2,67.01386978,0.199716333,0.083447091,0.3892334,1936,0.435179286,0.079173882,0.401295094
15/02/2022 01:00,43443.33,26677.554,72.24932836,0.205370721,0.103956575,0.41545122,1931,0.250475636,0.042549303,0.639491943
15/02/2022 02:00,43538.01,13833.899,72.24932836,0.214104125,0.099521535,0.407197305,1901,0.139296774,0.055513318,0.5061296
15/02/2022 03:00,43535.1,6132.138,69.10805321,0.206663268,0.085666258,0.430984854,1849,0.311963102,0.155512581,0.592646357
15/02/2022 04:00,43445.1,8990.229,67.01386978,0.248541696,0.093485707,0.396873552,1591,0.075268323,0.045466777,0.42086264
15/02/2022 05:00,43543.2,5692.099,71.20223664,0.1928522,0.100295904,0.413513559,1386,0.326239756,0.167970038,0.609722834
15/02/2022 06:00,43523.7,5110.816,79.57897037,0.188970552,0.091063658,0.418834769,1498,0.481272263,0.132139308,0.482081111
15/02/2022 07:00,43665.7,7217.542,74.34351179,0.146352083,0.084312249,0.375614439,1441,0.501956465,0.091605824,0.500927305
15/02/2022 08:00,43970.4,24123.897,69.10805321,0.21798408,0.122403248,0.401901564,2022,0.784471488,0.192458162,0.566200476
15/02/2022 09:00,44027.5,11832.56,71.20223664,0.159456711,0.094354051,0.409193102,1839,-0.105901149,0.037598777,0.433578815
15/02/2022 10:00,44235,16836.857,77.48478694,0.185789731,0.084249471,0.400791581,1797,0.429281871,0.127916667,0.410046296
15/02/2022 11:00,44214.4,13772.929,77.48478694,0.190018244,0.088336487,0.390149338,1753,0.176103947,0.077999826,0.372945278
15/02/2022 12:00,44161.8,10479.429,72.24932836,0.223338732,0.114487634,0.415566997,2043,0.527737468,0.042495467,0.391983896
15/02/2022 13:00,44230.9,13711.246,77.48478694,0.209268562,0.109114712,0.411673838,2556,0.365198646,0.064407468,0.471704879
15/02/2022 14:00,44235,20748.772,72.24932836,0.210971036,0.100742097,0.400024497,2522,0.751207277,0.114899483,0.505477714
15/02/2022 15:00,44190.3,11186.823,74.34351179,0.234655832,0.115507691,0.402530538,2546,0.590091078,0.130833581,0.417041456
15/02/2022 16:00,44110.9,9835.615,78.53187865,0.210214167,0.102609501,0.40846095,2547,0.649340418,0.154563872,0.452185235
15/02/2022 17:00,43928.2,14467.95,75.39060351,0.198197813,0.090438548,0.39037451,2441,0.584868838,0.180484562,0.471971902
15/02/2022 18:00,44114.2,8990.7,78.53187865,0.219996697,0.102389789,0.401998844,2373,0.588915484,0.020201734,0.443457514
15/02/2022 19:00,43989.6,5263.919,78.53187865,0.188092749,0.093397091,0.404730107,2115,0.37478871,0.093446698,0.489785546
15/02/2022 20:00,44129.8,6837.266,75.39060351,0.207771773,0.097708301,0.407066764,1897,0.651273672,0.046976262,0.406439178
